time	V(N003,N002)	V(n001)	V(n003)	I(R1)
0.000000000000000e+000	-2.000000e+000	-6.000000e-019	-2.000000e+000	-6.000000e-016
1.000000000000000e-004	-2.000000e+000	3.755962e-015	-2.000000e+000	-5.985806e-016
1.000317619377394e-004	-2.000000e+000	1.270476e-001	-1.872952e+000	4.556084e-009
1.000635238754789e-004	-2.000000e+000	2.540951e-001	-1.745905e+000	1.957896e-008
1.000952858132183e-004	-2.000000e+000	3.811423e-001	-1.618857e+000	4.506862e-008
1.001270477509577e-004	-2.000000e+000	5.081894e-001	-1.491809e+000	8.102507e-008
1.001588096886971e-004	-2.000000e+000	6.352362e-001	-1.364761e+000	1.274483e-007
1.001905716264366e-004	-2.000000e+000	7.622828e-001	-1.237714e+000	1.843383e-007
1.002223335641760e-004	-2.000000e+000	8.893293e-001	-1.110666e+000	2.516952e-007
1.004318039105146e-004	-2.000000e+000	1.727199e+000	-2.727844e-001	8.420472e-007
1.005810593073227e-004	-2.000000e+000	2.324208e+000	3.242372e-001	1.444252e-006
1.007014892063838e-004	-2.000000e+000	2.805916e+000	8.059568e-001	2.064833e-006
1.007591402018779e-004	-2.000000e+000	3.036513e+000	1.036561e+000	2.415074e-006
1.008744421928662e-004	-2.000000e+000	3.497705e+000	1.497769e+000	3.216187e-006
1.010000000000000e-004	-2.000000e+000	3.999917e+000	2.000000e+000	4.166638e-006
5.026307523764788e-004	-1.997131e+000	3.930689e+000	2.000000e+000	3.322111e-003
9.042615047529577e-004	-1.990167e+000	3.858641e+000	2.000000e+000	6.576307e-003
1.305892257129437e-003	-1.979108e+000	3.783773e+000	2.000000e+000	9.766755e-003
1.707523009505915e-003	-1.963953e+000	3.706084e+000	2.000000e+000	1.289345e-002
2.109153761882394e-003	-1.944703e+000	3.625575e+000	2.000000e+000	1.595640e-002
2.510784514258873e-003	-1.921358e+000	3.542246e+000	2.000000e+000	1.895561e-002
2.912415266635351e-003	-1.893917e+000	3.456096e+000	2.000000e+000	2.189106e-002
