time	V(n001)	V(n002)	I(R1)
6.083968571428559e-002	-2.000000e+000	1.737955e+000	-9.344888e-002
6.157737142857118e-002	-2.000000e+000	1.515180e+000	-8.787951e-002
6.231505714285678e-002	-2.000000e+000	1.304560e+000	-8.261399e-002
6.305274285714238e-002	-2.000000e+000	1.106093e+000	-7.765233e-002
6.379042857142797e-002	-2.000000e+000	9.197804e-001	-7.299451e-002
6.452811428571358e-002	-2.000000e+000	7.456219e-001	-6.864055e-002
6.526579999999917e-002	-2.000000e+000	5.836174e-001	-6.459044e-002
6.568008571428489e-002	-2.000000e+000	4.961822e-001	-6.240456e-002
6.609437142857062e-002	-2.000000e+000	4.114798e-001	-6.028699e-002
6.650865714285635e-002	-2.000000e+000	3.295100e-001	-5.823775e-002
6.692294285714207e-002	-2.000000e+000	2.502730e-001	-5.625682e-002
6.733722857142779e-002	-2.000000e+000	1.737687e-001	-5.434422e-002
6.775151428571352e-002	-2.000000e+000	9.999708e-002	-5.249993e-002
6.816579999999925e-002	-2.000000e+000	2.895824e-002	-5.072396e-002
6.826579999999925e-002	-2.000000e+000	1.212041e-002	-5.030301e-002
6.836579999999926e-002	-2.000000e+000	-4.577686e-003	-4.988556e-002
6.846579999999926e-002	-2.000000e+000	-2.113721e-002	-4.947157e-002
6.866579999999926e-002	-2.000000e+000	-5.384512e-002	-4.865387e-002
6.896579999999927e-002	-2.000000e+000	-1.018961e-001	-4.745260e-002
6.955151428571357e-002	-2.000000e+000	-1.918411e-001	-4.520397e-002
7.013722857142787e-002	-2.000000e+000	-2.779636e-001	-4.305091e-002
7.072294285714217e-002	-2.000000e+000	-3.602636e-001	-4.099341e-002
7.130865714285649e-002	-2.000000e+000	-4.387411e-001	-3.903147e-002
7.189437142857079e-002	-2.000000e+000	-5.133961e-001	-3.716510e-002
7.248008571428509e-002	-2.000000e+000	-5.842285e-001	-3.539429e-002
7.306579999999939e-002	-2.000000e+000	-6.512384e-001	-3.371904e-002
7.413722857142799e-002	-2.000000e+000	-7.646047e-001	-3.088488e-002
7.520865714285660e-002	-2.000000e+000	-8.700311e-001	-2.824922e-002
7.628008571428520e-002	-2.000000e+000	-9.675174e-001	-2.581207e-002
7.735151428571380e-002	-2.000000e+000	-1.057064e+000	-2.357341e-002
7.842294285714241e-002	-2.000000e+000	-1.138670e+000	-2.153325e-002
7.949437142857101e-002	-2.000000e+000	-1.212336e+000	-1.969159e-002
8.056579999999960e-002	-2.000000e+000	-1.278063e+000	-1.804844e-002
8.165151428571392e-002	-2.000000e+000	-1.339492e+000	-1.651270e-002
8.273722857142823e-002	-2.000000e+000	-1.396575e+000	-1.508563e-002
8.382294285714256e-002	-2.000000e+000	-1.449310e+000	-1.376724e-002
8.490865714285688e-002	-2.000000e+000	-1.497699e+000	-1.255752e-002
8.599437142857119e-002	-2.000000e+000	-1.541741e+000	-1.145648e-002
8.708008571428551e-002	-2.000000e+000	-1.581435e+000	-1.046412e-002
8.816579999999982e-002	-2.000000e+000	-1.616783e+000	-9.580426e-003
8.912294285714270e-002	-2.000000e+000	-1.645779e+000	-8.855528e-003
9.008008571428559e-002	-2.000000e+000	-1.672917e+000	-8.177078e-003
9.103722857142847e-002	-2.000000e+000	-1.698197e+000	-7.545075e-003
9.199437142857136e-002	-2.000000e+000	-1.721619e+000	-6.959520e-003
9.295151428571424e-002	-2.000000e+000	-1.743184e+000	-6.420411e-003
9.390865714285714e-002	-2.000000e+000	-1.762890e+000	-5.927750e-003
9.486580000000001e-002	-2.000000e+000	-1.780739e+000	-5.481537e-003
9.496580000000002e-002	-2.000000e+000	-1.782558e+000	-5.436047e-003
9.605151428571433e-002	-2.000000e+000	-1.801060e+000	-4.973494e-003
9.713722857142865e-002	-2.000000e+000	-1.818253e+000	-4.543673e-003
9.822294285714298e-002	-2.000000e+000	-1.834137e+000	-4.146584e-003
9.930865714285729e-002	-2.000000e+000	-1.848711e+000	-3.782227e-003
1.003943714285716e-001	-2.000000e+000	-1.861976e+000	-3.450602e-003
1.014800857142859e-001	-2.000000e+000	-1.873932e+000	-3.151710e-003
1.025658000000002e-001	-2.000000e+000	-1.884578e+000	-2.885549e-003
1.036515142857146e-001	-2.000000e+000	-1.894399e+000	-2.640018e-003
1.047372285714289e-001	-2.000000e+000	-1.903525e+000	-2.411861e-003
1.058229428571432e-001	-2.000000e+000	-1.911957e+000	-2.201079e-003
1.069086571428575e-001	-2.000000e+000	-1.919693e+000	-2.007672e-003
1.079943714285718e-001	-2.000000e+000	-1.926734e+000	-1.831640e-003
1.090800857142861e-001	-2.000000e+000	-1.933081e+000	-1.672983e-003
1.101658000000005e-001	-2.000000e+000	-1.938732e+000	-1.531700e-003
1.112515142857148e-001	-2.000000e+000	-1.943945e+000	-1.401368e-003
1.123372285714291e-001	-2.000000e+000	-1.948790e+000	-1.280258e-003
1.134229428571434e-001	-2.000000e+000	-1.953265e+000	-1.168372e-003
1.145086571428577e-001	-2.000000e+000	-1.957372e+000	-1.065708e-003
1.155943714285720e-001	-2.000000e+000	-1.961109e+000	-9.722667e-004
1.166800857142864e-001	-2.000000e+000	-1.964478e+000	-8.880485e-004
1.177658000000007e-001	-2.000000e+000	-1.967478e+000	-8.130530e-004
1.180658000000007e-001	-2.000000e+000	-1.968280e+000	-7.930080e-004
1.183658000000007e-001	-2.000000e+000	-1.969063e+000	-7.734289e-004
1.186658000000007e-001	-2.000000e+000	-1.969827e+000	-7.543158e-004
1.189658000000007e-001	-2.000000e+000	-1.970573e+000	-7.356685e-004
1.192658000000007e-001	-2.000000e+000	-1.971301e+000	-7.174872e-004
1.195658000000007e-001	-2.000000e+000	-1.972009e+000	-6.997718e-004
1.198658000000007e-001	-2.000000e+000	-1.972699e+000	-6.825224e-004
1.199658000000007e-001	-2.000000e+000	-1.972926e+000	-6.768506e-004
1.200000000000000e-001	-2.000000e+000	-1.973003e+000	-6.749203e-004
