time	V(n001)	V(n002)	I(R1)
6.379042857142797e-002	-2.000000e+000	-2.919737e+000	2.299343e-002
6.452811428571358e-002	-2.000000e+000	-2.745580e+000	1.863950e-002
6.526579999999917e-002	-2.000000e+000	-2.583577e+000	1.458943e-002
6.568008571428489e-002	-2.000000e+000	-2.496143e+000	1.240357e-002
6.609437142857062e-002	-2.000000e+000	-2.411441e+000	1.028604e-002
6.650865714285635e-002	-2.000000e+000	-2.329473e+000	8.236816e-003
6.692294285714207e-002	-2.000000e+000	-2.250237e+000	6.255916e-003
6.733722857142779e-002	-2.000000e+000	-2.173733e+000	4.343334e-003
6.775151428571352e-002	-2.000000e+000	-2.099963e+000	2.499072e-003
6.816579999999925e-002	-2.000000e+000	-2.028925e+000	7.231287e-004
6.826579999999925e-002	-2.000000e+000	-2.012088e+000	3.021897e-004
6.836579999999926e-002	-2.000000e+000	-1.995390e+000	-1.152558e-004
6.846579999999926e-002	-2.000000e+000	-1.978830e+000	-5.292370e-004
6.866579999999926e-002	-2.000000e+000	-1.946123e+000	-1.346921e-003
6.896579999999927e-002	-2.000000e+000	-1.898073e+000	-2.548176e-003
6.955151428571357e-002	-2.000000e+000	-1.808130e+000	-4.796759e-003
7.013722857142787e-002	-2.000000e+000	-1.722009e+000	-6.949779e-003
7.072294285714217e-002	-2.000000e+000	-1.639710e+000	-9.007237e-003
7.130865714285649e-002	-2.000000e+000	-1.561235e+000	-1.096913e-002
7.189437142857079e-002	-2.000000e+000	-1.486581e+000	-1.283546e-002
7.248008571428509e-002	-2.000000e+000	-1.415751e+000	-1.460623e-002
7.306579999999939e-002	-2.000000e+000	-1.348742e+000	-1.628144e-002
7.413722857142799e-002	-2.000000e+000	-1.235379e+000	-1.911552e-002
7.520865714285660e-002	-2.000000e+000	-1.129956e+000	-2.175110e-002
7.628008571428520e-002	-2.000000e+000	-1.032473e+000	-2.418818e-002
7.735151428571380e-002	-2.000000e+000	-9.429296e-001	-2.642676e-002
7.842294285714241e-002	-2.000000e+000	-8.613262e-001	-2.846685e-002
7.949437142857101e-002	-2.000000e+000	-7.876627e-001	-3.030843e-002
8.056579999999960e-002	-2.000000e+000	-7.219392e-001	-3.195152e-002
8.166579999999964e-002	-2.000000e+000	-6.597649e-001	-3.350588e-002
8.276579999999967e-002	-2.000000e+000	-6.020351e-001	-3.494912e-002
8.386579999999970e-002	-2.000000e+000	-5.487500e-001	-3.628125e-002
8.496579999999973e-002	-2.000000e+000	-4.999094e-001	-3.750226e-002
8.606579999999976e-002	-2.000000e+000	-4.555135e-001	-3.861216e-002
8.716579999999979e-002	-2.000000e+000	-4.155621e-001	-3.961095e-002
8.826579999999983e-002	-2.000000e+000	-3.800553e-001	-4.049862e-002
8.920865714285700e-002	-2.000000e+000	-3.517042e-001	-4.120740e-002
9.015151428571416e-002	-2.000000e+000	-3.251480e-001	-4.187130e-002
9.109437142857134e-002	-2.000000e+000	-3.003867e-001	-4.249033e-002
9.203722857142850e-002	-2.000000e+000	-2.774203e-001	-4.306449e-002
9.298008571428568e-002	-2.000000e+000	-2.562487e-001	-4.359378e-002
9.392294285714285e-002	-2.000000e+000	-2.368721e-001	-4.407820e-002
9.486580000000001e-002	-2.000000e+000	-2.192903e-001	-4.451774e-002
9.496580000000002e-002	-2.000000e+000	-2.174708e-001	-4.456323e-002
9.606580000000005e-002	-2.000000e+000	-1.987450e-001	-4.503138e-002
9.716580000000008e-002	-2.000000e+000	-1.813577e-001	-4.546606e-002
9.826580000000011e-002	-2.000000e+000	-1.653091e-001	-4.586727e-002
9.936580000000014e-002	-2.000000e+000	-1.505992e-001	-4.623502e-002
1.004658000000002e-001	-2.000000e+000	-1.372279e-001	-4.656930e-002
1.015658000000002e-001	-2.000000e+000	-1.251952e-001	-4.687012e-002
1.026658000000002e-001	-2.000000e+000	-1.145012e-001	-4.713747e-002
1.037800857142860e-001	-2.000000e+000	-1.045256e-001	-4.738686e-002
1.048943714285717e-001	-2.000000e+000	-9.527026e-002	-4.761824e-002
1.060086571428575e-001	-2.000000e+000	-8.673519e-002	-4.783162e-002
1.071229428571432e-001	-2.000000e+000	-7.892039e-002	-4.802699e-002
1.082372285714290e-001	-2.000000e+000	-7.182585e-002	-4.820435e-002
1.093515142857147e-001	-2.000000e+000	-6.545157e-002	-4.836371e-002
1.104658000000005e-001	-2.000000e+000	-5.979756e-002	-4.850506e-002
1.115943714285719e-001	-2.000000e+000	-5.452837e-002	-4.863679e-002
1.127229428571434e-001	-2.000000e+000	-4.964339e-002	-4.875891e-002
1.138515142857148e-001	-2.000000e+000	-4.514261e-002	-4.887143e-002
1.149800857142863e-001	-2.000000e+000	-4.102602e-002	-4.897435e-002
1.161086571428578e-001	-2.000000e+000	-3.729364e-002	-4.906766e-002
1.172372285714292e-001	-2.000000e+000	-3.394546e-002	-4.915136e-002
1.183658000000007e-001	-2.000000e+000	-3.098148e-002	-4.922546e-002
1.199658000000007e-001	-2.000000e+000	-2.711999e-002	-4.932200e-002
1.200000000000000e-001	-2.000000e+000	-2.704279e-002	-4.932393e-002
